Question,Reference Answer,RAG Answer,Labels
Who is Tenali RamaKrishna?,"Tenali Ramakrishna was a Telugu poet, scholar, and advisor in the court of Sri Krishnadevaraya of the Vijayanagara Empire.","Tenali Rama  Krishna   Tenali Ramakrishna  (22 September 1480 – 5 August 1528) was a  Telugu  poet, scholar,  and advisor in the court of  Sri Krishnadevaraya  of the  Vijayanagara Empire .  Early life:   Tenali Ramakrishna was born in Tenali in a Telugu -speaking Brahmin family. Despite lack of formal education, his thirst for knowledge led him to become a renowned  scholar.",Match with Irrelevant data
How did Tenali RamaKrishan Died?,Died in 1528 reportedly due to a snakebite.,"At the end of three days,  none  of the ministers could figure  out the difference . The king got worried and went to visit Tenali Rama . He said to him, “Tenali it is a  matter of our honour now .  Tenali Rama  Krishna   Tenali Ramakrishna  (22 September 1480 – 5 August 1528) was a  Telugu  poet, scholar,  and advisor in the court of  Sri Krishnadevaraya  of the  Vijayanagara Empire .",Related but wrong
What is the moral of the story Tenali RamaKrishana and Foolish Thieves,Moral: We can overcome any trouble if we do not lose our cool and put our brains to work.,Tenali Rama and The Foolish thieves   A gang of thieves was ransacking every house in the Vijayanagara  kingdom. The  city chief was troubled as his guards were unable to catch the thieves.  The story of how the smart Tenali Rama caught the thieves was  the talk of the town for days. Moral:  We can overcome any trouble if we do not lose our cool and put our  brains to work.,Match with Irrelevant data
What is the moral of the story Tenali RamaKrishana and The Three Dolls,"Moral:The personality  of the person reflects through his thoughts. If you are crooked, your thoughts will be crooked and if you are straight and fair, your thoughts will be likewise.","Tenali Rama and The Three Dolls     The great king Krishna Deva Raya had a lot of wise ministers in his court. The wisest of them  was Tenali Rama . One day, a merchant came to the king’s court.  He said, “ These three dolls are different because one of them is good, one average and one  bad.”     When everyone asked Tenali that which doll was which, he showed them a  tiny hole that  was present in the ears of each of the dolls .",Related but wrong
What is TenaliRamaKrishna Famous for?,Tenal RamaKrishna is famous for his wit and humour,"Early life:   Tenali Ramakrishna was born in Tenali in a Telugu -speaking Brahmin family. Despite lack of formal education, his thirst for knowledge led him to become a renowned  scholar.  Tenali Rama  Krishna   Tenali Ramakrishna  (22 September 1480 – 5 August 1528) was a  Telugu  poet, scholar,  and advisor in the court of  Sri Krishnadevaraya  of the  Vijayanagara Empire .",Wrong
Name some works by Tenali RamaKrishana,"His notable work, Panduranga Mahatmyam, is considered a great Telugu Kavya. He also composed Udbhataradhya Charitamu, showcasing his deep connection to Shaivism.","Tenali Rama  Krishna   Tenali Ramakrishna  (22 September 1480 – 5 August 1528) was a  Telugu  poet, scholar,  and advisor in the court of  Sri Krishnadevaraya  of the  Vijayanagara Empire .  Literary works:   His notable work, Panduranga Mahatmyam, is considered a great Telu gu Kavya. He also composed Udbhataradhya Charitamu, showcasing his deep connection to Shaivism.",Match
Who is the author of Adventures of Pinocchio,Author:Carlo Collodi,"The Project Gutenberg eBook of  The Adventures of Pinocchio   This ebook is for the use of anyone anywhere in the United States and most other parts of the  world at no cost and with almost no restrictions whatsoever.  Title: The Adventures of Pinocchio   Author: Carlo Collodi   Translator: Carol Della Chiesa   Release date: January 12, 2006 [eBook #500]   Most recently updated: January 28, 2021   Language: English   Credits: Produced by Charles Ke ller (for Tina); and David Widger   *** START OF THE PROJECT GUTENBERG EBOOK THE ADVENTURES OF  PINOCCHIO ***     THE  ADVENTURES  OF  PINOCCHIO   by C. Collodi  [Pseudonym of Carlo  Lorenzini]   Translated from the Italian by  Carol Della Chiesa         CONTENTS    CHAPTER 1   CHAPTER 2   CHAPTER 3   CHAPTER 4   CHAPTER 5   CHAPTER 6   CHAPTER 7   CHAPTER 8   CHAPTER 9   CHAPTER 10   CHAPTER 11   CHAPTER 12   CHAPTER 13   CHAPT ER 14   CHAPTER 15   CHAPTER 16   CHAPTER 17   CHAPTER 18   CHAPTER 19   CHAPTER 20   CHAPTER 21   CHAPTER 22   CHAPTER 23   CHAPTER 24   CHAPTER 25   CHAPT ER 26   CHAPTER 27   CHAPTER 28   CHAPTER 29   CHAPTER 30   CHAPTER 31  CHAPTER 32   CHAPTER 33   CHAPTER 34   CHAPTER 35   CHAPTER 36                                              CHAPTER 1   How it happened that Mastro Cherry, carpenter, found a piece of wood that wept  and laughed like a child.",Match with Irrelevant data
How many Chapters are there in Adventures of Pinocchio,36 chapters,The Project Gutenberg eBook of  The Adventures of Pinocchio   This ebook is for the use of anyone anywhere in the United States and most other parts of the  world at no cost and with almost no restrictions whatsoever.  CHAPTER 24  Pinocchio reaches the Island of the Busy Bees and finds the Fairy once more.,Wrong
Why does Pinocchio nose grow when he lies?,Pinocchios nose grows as a punishment and reminder of the consequences of dishonesty.,"I know Pinocchio well and he is indeed a very wicked fellow, lazy and  disobedient, who instead of going to school, runs away with his playmates to have  a good time.”   At this speech, his nose returned to its natural size.  “I think he’s a very good boy, fond of study, obedient, kind to his Father, and to  his whole family —”  As he was telling all these enormous lies about himself, Pinocchio touched his  nose and found it twice as long as it should be.",Wrong
What makes Pinocchio decide to rescue Geppetto from the whale?,Pinocchio realizes how much he loves and wants to protect Geppetto,"The two  fugitives were just about to dive into the sea when the Shark sneezed very  suddenly an d, as he sneezed, he gave Pinocchio and Geppetto such a jolt that they  found themselves thrown on their backs and dashed once more and very  unceremoniously into the stomach of the monster.  I’ll take care of everything  else.”   As soon as Geppetto was comfortably seated on his shoulders, Pinocchio, very  sure of what he was doing, dived into the water and started to swim.",Wrong
What promise does Pinocchio make to the Blue Fairy?,"Pinocchio promises to be good, go to school, and take responsibility for his actions.","That beautiful lady is my Fairy!” said Pinocchio to  himself, recognizing her. He felt so happy that he tried his best to cry out:   “Oh, my Fairy!.  “You will obey me always and do as I wish?”   “Gladly, very gladly, more than gladly!”   “Beginning tomorrow,” said the Fairy, “you’ll go to school every day.”   Pinocchio’s face fell a little.",Related but wrong
Who creates Pinocchio?,"Geppetto, a kind and lonely woodcarver, creates Pinocchio from a piece of wood.","Pinocchio went to the owner of a  circus, who wanted to teach him to do tricks for his audiences. And now do you understand what the Little Man’s profession was?.  My dear, we never know what life may  have in store for us!”         CHAPTER 8   Geppetto makes Pinocchio a new pair of feet, and sells his coat to buy him an A - B-C book.",Match with Irrelevant data
Who is Pinocchio’s father?,Geppetto is Pinocchio’s father.,"Pinocchio looked closely for a few minutes and then gave a sharp cry:   “It’s my father!.  “I think he’s a very good boy, fond of study, obedient, kind to his Father, and to  his whole family —”  As he was telling all these enormous lies about himself, Pinocchio touched his  nose and found it twice as long as it should be.",Related but wrong
Why does the Blue Fairy help Pinocchio throughout his journey?,The Blue Fairy believes in Pinocchio’s potential for goodness and growth.,Pinocchio freed himself from his awkward position and once more began to run  in order to reach the Fairy’s house before dark.  CHAPTER 24  Pinocchio reaches the Island of the Busy Bees and finds the Fairy once more.,Related but wrong
What causes Pinocchio to run away from school?,"He is tempted by promises of fun and excitement, which lead him astray","The teacher warned him each day, and even the good Fairy repeated to him  many times:   “Take care, Pinocchio!. Those bad companions will soo ner or later make you lose  your love for study.  I know Pinocchio well and he is indeed a very wicked fellow, lazy and  disobedient, who instead of going to school, runs away with his playmates to have  a good time.”   At this speech, his nose returned to its natural size.",Wrong
How does Geppetto show his love for Pinocchio?,"Geppetto sacrifices his own comfort and safety, even risking his life, for Pinocchio’s well-being.","At that unexpected trick, Geppetto became very sad and downcast, more so than  he had ever been before. “Pinocchio, you wicked b oy!” he cried out.  My dear, we never know what life may  have in store for us!”         CHAPTER 8   Geppetto makes Pinocchio a new pair of feet, and sells his coat to buy him an A - B-C book.",Wrong
Instead of going to school where does Pinocchio go?,A Puppet Show,"“You will obey me always and do as I wish?”   “Gladly, very gladly, more than gladly!”   “Beginning tomorrow,” said the Fairy, “you’ll go to school every day.”   Pinocchio’s face fell a little.  “I understand,” said Pinocchio at once wearily, “this is no place for me!.",Wrong
How many coins does Pinocchio bury in the field?,Four,"They too k the four gold pieces which you have buried and ran away as fast as the wind. If you can catch  them, you’re a brave one!”   Pinocchio’s mouth opened wide.  “When did the show start?”   “It is starting now.”   “And how much does one pay to get in?”   “Four pennies.”   Pinocchio, who was wild with curiosity to know what was going on inside, lost  all his pride and said to the boy shamelessly:   “Will you give me four pennies until tomorrow?”   “I’d give them to you gladly,” answered the other, poking fun at him, “but just  now I can’t give them to you.”   “For the price of four pennies, I’ll sell you my coat.”   “If it rains, what shall I do with a coat of flowered paper?.",Match with Irrelevant data
Who swallows Geppetto in the sea?,A Shark,"I’ll take  you  there.’ We flew all night long, and next morning the fishermen were looking  toward the sea, crying, ‘There is a poor little man drowning,’ and I knew it was  you, because my heart told me so and I waved to you from the shore —”  “I knew you also,” put in  Geppetto, “and I wanted to go to you; but how could I?.  The two  fugitives were just about to dive into the sea when the Shark sneezed very  suddenly an d, as he sneezed, he gave Pinocchio and Geppetto such a jolt that they  found themselves thrown on their backs and dashed once more and very  unceremoniously into the stomach of the monster.",Related but wrong
In Toyland what is Pinocchio turned into?,A Donkey,"When Pinocchio returned home, his father asked him:   “And where is the new suit?”   “I couldn’t find one to fit me.  Then he took him by the head and . . . CHAPTER 29   Pinocchio returns to the Fairy’s house and she promises him that, on the morrow,  he will cease to be a Marionette and become a boy.",Wrong
What happens at the end of the story?,Pinocchio’s wish comes true and he becomes a real boy.,"I should have given the matter more thought.”   What happened after this is an almost unbelievable  story, but you may read it,  dear children, in the chapters that follow.  He  became very much interested in the story; he felt moved; he almost  wept. When the  Marionette had no more to say, the Judge put out his hand and rang a bell.",Wrong
Who was Pinocchio?,A Puppet,"“I think he’s a very good boy, fond of study, obedient, kind to his Father, and to  his whole family —”  As he was telling all these enormous lies about himself, Pinocchio touched his  nose and found it twice as long as it should be.  Everyone, at one time or another, has found some surprise awaiting him. Of the  kind which Pinocchio had on that eventful morning of his life, there are but few. What was it?.",Wrong
What was Pinocchio made of?,Wood,"Happily for him, Pinocchio was made of very hard wood and the knives broke  into a thousand pieces. The Assassins looked at each other in d ismay, holding the  handles of the knives in their hands.  One  would have thought that Pinocchio had turned into a porpoise playing in the sun. After swimming for a long time, Pinocchio saw a large rock in the middle of the  sea, a rock as white as marble.",Match with Irrelevant data
Where does the story of Pinocchio come from?,Italy,"“I think he’s a very good boy, fond of study, obedient, kind to his Father, and to  his whole family —”  As he was telling all these enormous lies about himself, Pinocchio touched his  nose and found it twice as long as it should be.  Title: The Adventures of Pinocchio   Author: Carlo Collodi   Translator: Carol Della Chiesa   Release date: January 12, 2006 [eBook #500]   Most recently updated: January 28, 2021   Language: English   Credits: Produced by Charles Ke ller (for Tina); and David Widger   *** START OF THE PROJECT GUTENBERG EBOOK THE ADVENTURES OF  PINOCCHIO ***     THE  ADVENTURES  OF  PINOCCHIO   by C. Collodi  [Pseudonym of Carlo  Lorenzini]   Translated from the Italian by  Carol Della Chiesa         CONTENTS    CHAPTER 1   CHAPTER 2   CHAPTER 3   CHAPTER 4   CHAPTER 5   CHAPTER 6   CHAPTER 7   CHAPTER 8   CHAPTER 9   CHAPTER 10   CHAPTER 11   CHAPTER 12   CHAPTER 13   CHAPT ER 14   CHAPTER 15   CHAPTER 16   CHAPTER 17   CHAPTER 18   CHAPTER 19   CHAPTER 20   CHAPTER 21   CHAPTER 22   CHAPTER 23   CHAPTER 24   CHAPTER 25   CHAPT ER 26   CHAPTER 27   CHAPTER 28   CHAPTER 29   CHAPTER 30   CHAPTER 31  CHAPTER 32   CHAPTER 33   CHAPTER 34   CHAPTER 35   CHAPTER 36                                              CHAPTER 1   How it happened that Mastro Cherry, carpenter, found a piece of wood that wept  and laughed like a child.",Wrong
On his way to school Pinocchio meets two strangers who lead him astray. Who are they?,Fox and Cat,"Everyone, at one time or another, has found some surprise awaiting him. Of the  kind which Pinocchio had on that eventful morning of his life, there are but few. What was it?.  If he had only known  then the dreadful things that were to happen to him on account of his disobedience!. CHAPTER 27   The great battle between Pinocchio and his playmates. One is wounded.",Wrong
What happens each time Pinocchio tell s a lie?,His nose grows,"“I think he’s a very good boy, fond of study, obedient, kind to his Father, and to  his whole family —”  As he was telling all these enormous lies about himself, Pinocchio touched his  nose and found it twice as long as it should be.  However, Pinocchio, not wishing to trust  him too much, threw himself once again into the sea.",Related but wrong
Who was Pinocchio’s conscience?,Jiminy Cricket,"“I think he’s a very good boy, fond of study, obedient, kind to his Father, and to  his whole family —”  As he was telling all these enormous lies about himself, Pinocchio touched his  nose and found it twice as long as it should be.  However, Pinocchio, not wishing to trust  him too much, threw himself once again into the sea.",Wrong
